id, name                                          , composition               , adsorption_site_type, delta_zpe_ev        , zpe_h_star_ev      , half_zpe_h2_ev     , delta_g_h_ev
51, USPEX_VARIABLE_W-N-2D_3596_H_bridge_3_along_z , "{""N"": 1.0, ""W"": 2.0}", bridge_3            , 0.06907188703916414 , 0.2079870249955305 , 0.13891513795636637, -0.46250533796083587
52, USPEX_VARIABLE_W-N-2D_3596_H_bridge_4_along_z , "{""N"": 1.0, ""W"": 2.0}", bridge_4            , 0.06924419445088928 , 0.20815933240725565, 0.13891513795636637, -0.46194383054911076
53, USPEX_VARIABLE_W-N-2D_3596_H_bridge_5_along_z , "{""N"": 1.0, ""W"": 2.0}", bridge_5            , 0.06948834010495747 , 0.20840347806132384, 0.13891513795636637, -0.4613868648950425
54, USPEX_VARIABLE_W-N-2D_3596_H_hollow_0_along_z , "{""N"": 1.0, ""W"": 2.0}", hollow_0            , 0.06914514849612102 , 0.2080602864524874 , 0.13891513795636637, -0.46305238650387887
55, USPEX_VARIABLE_W-N-2D_3596_H_hollow_1_along_z , "{""N"": 1.0, ""W"": 2.0}", hollow_1            , 0.06922452404784735 , 0.20813966200421372, 0.13891513795636637, -0.46242591095215263
56, USPEX_VARIABLE_W-N-2D_3596_H_hollow_2_along_z , "{""N"": 1.0, ""W"": 2.0}", hollow_2            , 0.06963642614965296 , 0.20855156410601933, 0.13891513795636637, -0.4616880188503471
57, USPEX_VARIABLE_W-N-2D_3596_H_hollow_3_along_z , "{""N"": 1.0, ""W"": 2.0}", hollow_3            , 0.06368587397700268 , 0.20260101193336905, 0.13891513795636637, -0.46794155102299734
58, USPEX_VARIABLE_W-N-2D_3596_H_ontop_0_along_z  , "{""N"": 1.0, ""W"": 2.0}", ontop_0             , 0.06940123054291711 , 0.20831636849928348, 0.13891513795636637, -0.4624610344570828
59, USPEX_VARIABLE_W-N-2D_3596_H_ontop_1_along_z  , "{""N"": 1.0, ""W"": 2.0}", ontop_1             , 0.1546023888079913  , 0.29351752676435766, 0.13891513795636637, 0.0332365838079913
60, USPEX_VARIABLE_W-N-2D_4683_H_bridge_0_along_z , "{""N"": 1.0, ""W"": 3.0}", bridge_0            , 0.06494564865294838 , 0.20386078660931475, 0.13891513795636637, -0.9155585063470515
